Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2009/3/24,1490.4,1491.19,1457.76,1469.27,727000000,6482000000,10.35,1478.01,-0.0059,0.0525,3.81,44.08,1215.61,23.38,0.0326,0.0029
2009/3/25,1460.48,1470.91,1416.74,1416.74,592000000,5215000000,10.07,1469.27,-0.0357,0.0428,3.67,42.51,1172.15,22.54,0.0299,0.003
2009/3/26,1413.55,1450.31,1391.83,1450.31,523000000,4555000000,10.28,1416.74,0.0237,0.0377,3.76,43.55,1200.98,23.1,0.026,0.0029
2009/3/27,1456.23,1465.93,1444.18,1453.39,605000000,5407000000,10.29,1450.31,0.0021,0.0437,3.76,43.64,1203.53,23.14,0.0263,0.0029
2009/3/30,1451.21,1469.59,1446.92,1458.22,582000000,4660000000,10.34,1453.39,0.0033,0.0419,3.77,43.78,1218.83,23.44,0.0274,0.0028
2009/3/31,1430.91,1464.68,1414.13,1464.68,521000000,4303000000,10.41,1458.22,0.0044,0.0375,3.79,43.88,1224.28,23.54,0.0249,0.0028
2009/4/1,1467.2,1505.76,1467.2,1492.58,763000000,6419000000,10.58,1464.68,0.0191,0.0549,3.86,44.71,1247.6,23.99,0.0294,0.0028
2009/4/2,1496.23,1505.67,1484.64,1485.78,669000000,5748000000,10.59,1492.58,-0.0046,0.048,3.83,44.59,1247.89,24,0.026,0.0028
2009/4/3,1491.62,1540.08,1454.6,1510.85,930000000,8838000000,10.83,1485.78,0.0169,0.0665,3.92,45.66,1277.96,24.58,0.0426,0.0027
2009/4/7,1506.72,1535.95,1503.62,1525.73,580000000,5860000000,11,1510.85,0.0099,0.0414,3.93,46.11,1292.6,24.86,0.0371,0.0027
2009/4/8,1521.58,1524.93,1462.63,1462.72,566000000,5410000000,10.52,1525.73,-0.0413,0.0404,3.77,44.21,1239.22,23.83,0.0301,0.0028
2009/4/9,1475.15,1498.93,1460.4,1491.38,533000000,5207000000,10.71,1462.72,0.0196,0.0379,3.84,45.1,1266.05,24.35,0.0365,0.0027
2009/4/10,1496.95,1536.41,1479.71,1529.68,752000000,7266000000,11.01,1491.38,0.0257,0.0535,3.94,46.26,1298.56,24.97,0.0348,0.0027
2009/4/13,1540.96,1545.81,1522.9,1536.12,711000000,6710000000,11.14,1529.68,0.0042,0.0506,3.96,46.45,1304.03,25.08,0.0279,0.0027
2009/4/14,1536.44,1552.54,1527.84,1548.11,658000000,6261000000,11.36,1536.12,0.0078,0.0468,3.99,46.81,1314.2,25.27,0.0281,0.0026
2009/4/15,1541.06,1552.92,1511.96,1552.64,743000000,6761000000,11.38,1548.11,0.0029,0.0528,4.01,46.95,1318.05,25.35,0.0279,0.0026
2009/4/16,1554.49,1571.15,1533.84,1561.88,730000000,6739000000,11.39,1552.64,0.006,0.0519,4.03,47.23,1325.9,25.5,0.0279,0.0026
2009/4/17,1555.24,1567.01,1530.44,1541.83,668000000,6249000000,11.17,1561.88,-0.0128,0.0475,3.98,46.62,1308.88,25.17,0.0292,0.0026
2009/4/20,1535.75,1566.52,1535.74,1566.52,622000000,5611000000,11.41,1541.83,0.016,0.0442,4.04,47.37,1329.84,25.57,0.0286,0.0026
2009/4/21,1550.82,1583.88,1550.21,1572.98,700000000,6232000000,11.36,1566.52,0.0041,0.0498,4.06,47.56,1335.24,25.68,0.029,0.0027
2009/4/22,1573.78,1581.14,1503.85,1510.02,820000000,7450000000,10.93,1572.98,-0.04,0.0583,3.9,45.66,1281.79,24.65,0.0317,0.0028
2009/4/23,1515.62,1551.42,1508.59,1525.83,764000000,6818000000,11.03,1510.02,0.0105,0.0543,3.87,46.14,1295.22,24.91,0.0444,0.0027
2009/4/24,1528.21,1531.34,1475.61,1476.58,640000000,5847000000,10.71,1525.83,-0.0323,0.0455,3.75,44.65,1253.41,24.1,0.0395,0.0028
2009/4/27,1467.45,1467.45,1389.62,1391.71,498000000,4197000000,10.15,1476.58,-0.0575,0.0354,3.54,42.14,1184.45,22.78,0.0305,0.003
2009/4/28,1378.98,1395.51,1371.36,1390.24,343000000,2749000000,10.12,1391.71,-0.0011,0.0243,3.55,42.1,1183.21,22.75,0.023,0.003
2009/4/29,1389.06,1419.83,1383.01,1417.03,370000000,2964000000,10.35,1390.24,0.0193,0.0263,3.62,42.88,1206.47,23.2,0.0192,0.0029
2009/4/30,1421.69,1422.29,1403.7,1415.2,428000000,3810000000,10.48,1417.03,-0.0013,0.0303,3.61,42.65,1211.03,23.29,0.0225,0.003
2009/5/4,1420.31,1467.96,1419.96,1467.85,490000000,4209000000,10.85,1415.2,0.0372,0.0347,3.75,63.05,1256.09,24.16,0.0223,0.0028
2009/5/5,1474.01,1489.66,1461.26,1485.68,527000000,4686000000,11.02,1467.85,0.0121,0.0373,3.79,63.82,1271.35,24.45,0.0236,0.0028
2009/5/6,1480.62,1500.65,1471.41,1500.65,519000000,4573000000,11.15,1485.68,0.0101,0.0368,3.83,64.46,1284.15,24.7,0.0221,0.0028
2009/5/7,1503.21,1512.48,1470.95,1492.18,582000000,5223000000,11.04,1500.65,-0.0056,0.0412,3.81,64.1,1276.9,24.56,0.0222,0.0028
2009/5/8,1489.19,1489.19,1462.74,1483.1,436000000,3913000000,10.99,1492.18,-0.0061,0.0309,3.78,63.7,1269.13,24.41,0.0185,0.0028
2009/5/11,1486.74,1488.24,1428.88,1429.07,553000000,4622000000,10.6,1483.1,-0.0364,0.0392,3.64,61.42,1222.91,23.52,0.0205,0.0029
2009/5/12,1420.23,1452.45,1418.72,1452.45,332000000,2766000000,10.8,1429.07,0.0164,0.0235,3.67,62.43,1242.92,23.9,0.0182,0.0029
2009/5/13,1453.67,1486.98,1447.53,1481.23,578000000,4981000000,10.96,1452.45,0.0198,0.041,3.74,63.67,1267.54,24.38,0.0264,0.0028
2009/5/14,1471.29,1483.47,1465.73,1477.49,461000000,4072000000,10.93,1481.23,-0.0025,0.0327,3.73,63.51,1264.34,24.31,0.0246,0.0028
